Tue Jun 11 10:11:33 2024    stats_profiling.raw

         81264732 function calls (80879145 primitive calls) in 221.513 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      474   39.018    0.082   61.979    0.131 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/R_dynamics.py:15(f)
  5113270   28.403    0.000   28.403    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  4563400   17.775    0.000   55.166    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:101(_mean)
        8   15.245    1.906   77.919    9.740 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/SOR.py:101(SOR_3D)
   176022   13.352    0.000   13.352    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    87242   12.836    0.000   24.987    0.000 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:18(dR_dt)
  4563400   12.748    0.000   14.738    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
       20    9.759    0.488   72.531    3.627 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:366(change_grid_R)
  4500900    7.193    0.000   61.630    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3385(mean)
       80    5.334    0.067    5.334    0.067 {method 'encode' of 'ImagingEncoder' objects}
    87716    5.226    0.000    5.226    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
      134    2.749    0.021    2.804    0.021 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       22    2.689    0.122    2.689    0.122 {method 'acquire' of '_thread.lock' objects}
   175520    2.236    0.000   17.128    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1185(tile)
  9065864    1.991    0.000    1.991    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    20348    1.802    0.000    4.160    0.000 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:53(dN_dt)
  9238276    1.656    0.000    1.656    0.000 {built-in method builtins.issubclass}
   431606    1.433    0.000   11.929    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
  5589965    1.413    0.000    1.482    0.000 {built-in method builtins.isinstance}
     3348    1.124    0.000   26.343    0.008 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:566(_dense_difference)
  4823107    1.123    0.000    1.124    0.000 {built-in method builtins.hasattr}
  5036625    0.984    0.000    0.984    0.000 {built-in method numpy.asanyarray}
  4500900    0.969    0.000    0.969    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3380(_mean_dispatcher)
   360978    0.919    0.000   12.150    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2177(sum)
    83700    0.859    0.000   24.975    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:455(fun_wrapped)
   187500    0.849    0.000    0.939    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1856(_array_perimeter)
   479139    0.813    0.000    0.813    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   180676    0.662    0.000    1.533    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:33(seterr)
   498955    0.614    0.000    0.617    0.000 {built-in method numpy.array}
   180676    0.559    0.000    0.591    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       25    0.533    0.021    2.697    0.108 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1497(plot_surface)
   431606    0.479    0.000    0.479    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
     1346    0.426    0.000    0.527    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
    20080    0.408    0.000    0.408    0.000 {built-in method numpy.zeros}
   980403    0.404    0.000    0.404    0.000 {method 'items' of 'dict' objects}
    66719    0.398    0.000    0.522    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:612(column_stack)
     2485    0.391    0.000    0.391    0.000 {built-in method builtins.print}
    97099    0.376    0.000    0.494    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:23(atleast_1d)
