Tue Jun 11 10:06:30 2024    stats_profiling.raw

         81370879 function calls (80985164 primitive calls) in 183.891 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  5124220   24.366    0.000   24.366    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      474   22.711    0.048   31.778    0.067 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/R_dynamics.py:47(f_optimized)
  4563400   15.954    0.000   51.222    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:101(_mean)
        8   13.055    1.632   45.470    5.684 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/SOR.py:101(SOR_3D)
  4563400   12.968    0.000   14.827    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
    87557   12.389    0.000   24.365    0.000 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:18(dR_dt)
       20    9.487    0.474   67.605    3.380 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:366(change_grid_R)
  4500900    6.609    0.000   57.092    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3385(mean)
    88031    5.697    0.000    5.697    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
       81    5.406    0.067    5.406    0.067 {method 'encode' of 'ImagingEncoder' objects}
       22    2.951    0.134    2.951    0.134 {method 'acquire' of '_thread.lock' objects}
      134    2.830    0.021    2.886    0.022 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   175202    2.091    0.000    4.575    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1185(tile)
  9065864    1.860    0.000    1.860    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    21446    1.835    0.000    4.244    0.000 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:53(dN_dt)
  9240545    1.593    0.000    1.593    0.000 {built-in method builtins.issubclass}
  5601092    1.477    0.000    1.546    0.000 {built-in method builtins.isinstance}
   442612    1.407    0.000    9.987    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
     3358    1.119    0.000   25.548    0.008 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:566(_dense_difference)
  4823140    1.109    0.000    1.110    0.000 {built-in method builtins.hasattr}
   175230    0.948    0.000    0.948    0.000 {method 'repeat' of 'numpy.ndarray' objects}
  5037220    0.928    0.000    0.928    0.000 {built-in method numpy.asanyarray}
   371962    0.921    0.000   10.246    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2177(sum)
    83950    0.896    0.000   24.368    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:455(fun_wrapped)
   187500    0.892    0.000    0.985    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1856(_array_perimeter)
  4500900    0.876    0.000    0.876    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3380(_mean_dispatcher)
   478414    0.815    0.000    0.815    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   181058    0.652    0.000    1.504    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:33(seterr)
   498668    0.605    0.000    0.608    0.000 {built-in method numpy.array}
   181058    0.551    0.000    0.583    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       25    0.551    0.022    2.771    0.111 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1497(plot_surface)
   442612    0.496    0.000    0.496    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
31445/30935    0.469    0.000    1.481    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:1180(_update_props)
    20175    0.433    0.000    0.433    0.000 {built-in method numpy.zeros}
     1356    0.427    0.000    0.522    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
    66717    0.406    0.000    0.530    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:612(column_stack)
   991281    0.405    0.000    0.405    0.000 {method 'items' of 'dict' objects}
    68062    0.374    0.000    0.556    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:134(check_shape)
     2907    0.372    0.000    3.899    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:14(rk_step)
    97434    0.358    0.000    0.474    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:23(atleast_1d)
460947/382114    0.338    0.000    0.609    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:319(stale)
     2485    0.337    0.000    0.337    0.000 {built-in method builtins.print}
    67931    0.337    0.000    1.350    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/path.py:99(__init__)
196813/3263    0.335    0.000    0.767    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:128(deepcopy)
        6    0.333    0.056    0.333    0.056 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:404(change_grid_N)
   276005    0.323    0.000    0.323    0.000 {built-in method numpy.asarray}
    12722    0.304    0.000    0.471    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1407(resize)
   449282    0.299    0.000    0.630    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/__init__.py:725(__getitem__)
     2002    0.299    0.000   11.337    0.006 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/trf.py:205(trf_bounds)
    62500    0.297    0.000    1.622    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/path.py:191(_create_closed)
     2133    0.297    0.000    0.297    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       25    0.270    0.011    0.282    0.011 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1142(_generate_normals)
   700713    0.264    0.000    0.264    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1267(<genexpr>)
83530/83462    0.258    0.000    0.378    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:291(process)
     5644    0.248    0.000    1.324    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:363(_get_layout)
   449283    0.229    0.000    0.330    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/__init__.py:674(_get)
