Tue Jun 11 10:33:10 2024    stats_profiling.raw

         80899264 function calls (80517487 primitive calls) in 212.103 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      474   47.464    0.100   57.219    0.121 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/R_dynamics.py:85(f_optimized_2)
  5119441   25.576    0.000   25.576    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  4563400   16.582    0.000   52.940    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:101(_mean)
        8   14.347    1.793   72.317    9.040 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/SOR.py:101(SOR_3D)
  4563400   12.786    0.000   14.767    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
    81961   12.146    0.000   23.895    0.000 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:18(dR_dt)
       20    9.822    0.491   69.731    3.487 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:366(change_grid_R)
  4500900    6.595    0.000   58.767    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3385(mean)
    82435    6.093    0.000    6.093    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
       79    5.514    0.070    5.514    0.070 {method 'encode' of 'ImagingEncoder' objects}
       22    2.837    0.129    2.837    0.129 {method 'acquire' of '_thread.lock' objects}
      134    2.832    0.021    2.888    0.022 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   164010    2.039    0.000    4.288    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1185(tile)
  9065864    1.982    0.000    1.982    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    22370    1.843    0.000    4.170    0.000 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:53(dN_dt)
  9236270    1.572    0.000    1.572    0.000 {built-in method builtins.issubclass}
  5592402    1.428    0.000    1.497    0.000 {built-in method builtins.isinstance}
   438289    1.354    0.000   10.150    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
  4822651    1.256    0.000    1.256    0.000 {built-in method builtins.hasattr}
     3144    1.063    0.000   24.986    0.008 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:566(_dense_difference)
  5030328    1.001    0.000    1.001    0.000 {built-in method numpy.asanyarray}
  4500900    0.973    0.000    0.973    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3380(_mean_dispatcher)
   368444    0.918    0.000   10.348    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2177(sum)
   187500    0.861    0.000    0.950    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1856(_array_perimeter)
    78600    0.835    0.000   23.864    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:455(fun_wrapped)
   164038    0.821    0.000    0.821    0.000 {method 'repeat' of 'numpy.ndarray' objects}
   449868    0.736    0.000    0.736    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   170064    0.647    0.000    1.478    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:33(seterr)
   487234    0.590    0.000    0.593    0.000 {built-in method numpy.array}
   170064    0.555    0.000    0.584    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       25    0.548    0.022    2.948    0.118 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1497(plot_surface)
     3061    0.510    0.000    3.990    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:14(rk_step)
    19287    0.495    0.000    0.495    0.000 {built-in method numpy.zeros}
   438289    0.455    0.000    0.455    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
     1142    0.423    0.000    0.509    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
    66683    0.418    0.000    0.545    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:612(column_stack)
   447380    0.393    0.000    0.497    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/__init__.py:674(_get)
    68028    0.380    0.000    0.550    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:134(check_shape)
    91410    0.338    0.000    0.446    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:23(atleast_1d)
457958/379499    0.337    0.000    0.606    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:319(stale)
     2485    0.336    0.000    0.336    0.000 {built-in method builtins.print}
193917/3215    0.334    0.000    0.764    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:128(deepcopy)
