Mon Jun 10 14:48:54 2024    stats_profiling.raw

         80727910 function calls (80352947 primitive calls) in 260.053 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      472   46.430    0.098   71.643    0.152 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/R_dynamics.py:15(f)
  5090124   32.028    0.000   32.028    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  4563400   19.804    0.000   64.331    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:101(_mean)
        8   19.456    2.432   91.743   11.468 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/SOR.py:101(SOR_3D)
  4563400   15.746    0.000   18.233    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
   171988   14.757    0.000   14.757    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    85228   12.654    0.000   25.879    0.000 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:18(dR_dt)
       20   12.496    0.625   85.446    4.272 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:366(change_grid_R)
  4500900    8.361    0.000   71.651    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3385(mean)
    85700    6.016    0.000    6.016    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
       63    5.760    0.091    5.760    0.091 {method 'encode' of 'ImagingEncoder' objects}
      134    3.556    0.027    3.668    0.027 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       22    2.639    0.120    2.639    0.120 {method 'acquire' of '_thread.lock' objects}
   171488    2.626    0.000   18.947    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1185(tile)
  9065864    2.491    0.000    2.491    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
  5560104    1.920    0.000    2.007    0.000 {built-in method builtins.isinstance}
  9234883    1.808    0.000    1.808    0.000 {built-in method builtins.issubclass}
    18518    1.658    0.000    3.902    0.000 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:53(dN_dt)
  4821785    1.548    0.000    1.548    0.000 {built-in method builtins.hasattr}
   409614    1.391    0.000   12.649    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
  5033131    1.237    0.000    1.237    0.000 {built-in method numpy.asanyarray}
  4500900    1.138    0.000    1.138    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3380(_mean_dispatcher)
     3270    1.113    0.000   26.662    0.008 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:566(_dense_difference)
   187500    0.986    0.000    1.085    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1856(_array_perimeter)
   340274    0.945    0.000   12.580    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2177(sum)
    81750    0.937    0.000   25.492    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:455(fun_wrapped)
   468177    0.813    0.000    0.813    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   493929    0.682    0.000    0.688    0.000 {built-in method numpy.array}
   176810    0.646    0.000    1.588    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:33(seterr)
       25    0.638    0.026    3.120    0.125 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1497(plot_surface)
   176810    0.636    0.000    0.667    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:132(geterr)
     2483    0.619    0.000    0.619    0.000 {built-in method builtins.print}
   951156    0.614    0.000    0.614    0.000 {method 'items' of 'dict' objects}
    66645    0.595    0.000    0.747    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:612(column_stack)
     2100    0.527    0.000    0.527    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   409614    0.512    0.000    0.512    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
    67859    0.488    0.000    1.616    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/path.py:99(__init__)
451282/374613    0.463    0.000    0.793    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:319(stale)
    12546    0.458    0.000    0.798    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1407(resize)
    62500    0.432    0.000    1.948    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/path.py:191(_create_closed)
   444386    0.432    0.000    0.869    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/__init__.py:725(__getitem__)
190478/3158    0.424    0.000    1.023    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:128(deepcopy)
     5388    0.417    0.000    2.257    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:363(_get_layout)
     1268    0.371    0.000    0.560    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
    41463    0.369    0.000    0.454    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:631(__hash__)
        6    0.361    0.060    0.361    0.060 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:404(change_grid_N)
443129/443041    0.350    0.000    0.628    0.000 {built-in method builtins.getattr}
82267/82199    0.345    0.000    0.499    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:291(process)
    94929    0.342    0.000    0.464    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:23(atleast_1d)
31029/30519    0.341    0.000    1.641    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:1180(_update_props)
    68925    0.337    0.000    0.634    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:66(copy)
   686801    0.305    0.000    0.305    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1267(<genexpr>)
   444387    0.305    0.000    0.438    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/__init__.py:674(_get)
     2419    0.298    0.000    3.490    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:14(rk_step)
    34074    0.297    0.000    0.784    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
       25    0.296    0.012    0.314    0.013 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1142(_generate_normals)
    62525    0.285    0.000    2.427    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1000(<genexpr>)
   269592    0.284    0.000    0.284    0.000 {built-in method numpy.asarray}
    19780    0.278    0.000    0.278    0.000 {built-in method numpy.zeros}
   171258    0.273    0.000    0.317    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
     2002    0.263    0.000   11.274    0.006 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/trf.py:205(trf_bounds)
     3478    0.255    0.000    0.460    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:440(make_strictly_feasible)
    67990    0.253    0.000    0.501    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:134(check_shape)
     2743    0.252    0.000    1.902    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:738(draw)
1042356/1041924    0.246    0.000    0.247    0.000 {built-in method builtins.len}
     2002    0.243    0.000   33.622    0.017 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:241(least_squares)
   668281    0.237    0.000    0.237    0.000 {method 'get' of 'dict' objects}
     5272    0.233    0.000    0.334    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:467(CL_scaling_vector)
    25204    0.231    0.000    0.462    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1726(normalize_kwargs)
        9    0.229    0.025    0.423    0.047 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_macosx.py:148(__init__)
   340274    0.228    0.000    0.228    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
    85700    0.223    0.000    6.239    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/einsumfunc.py:1009(einsum)
     5480    0.220    0.000    0.285    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:401(find_active_constraints)
       25    0.218    0.009    4.966    0.199 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:966(do_3d_projection)
    88329    0.214    0.000    0.893    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
    62500    0.211    0.000    1.296    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1630(<listcomp>)
    25185    0.208    0.000    0.729    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
     3270    0.200    0.000    0.325    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:11(_adjust_scheme_to_bounds)
    71246    0.196    0.000    0.309    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1994(_setattr_cm)
   513432    0.196    0.000    0.196    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1257(<genexpr>)
    62500    0.195    0.000    1.355    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/function_base.py:398(average)
      565    0.194    0.000    0.231    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:619(padded)
    88329    0.192    0.000    1.101    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
   428500    0.186    0.000    0.186    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/einsumfunc.py:1001(_einsum_dispatcher)
      495    0.185    0.000    0.185    0.000 {method 'argmax' of 'numpy.ndarray' objects}
   176810    0.184    0.000    0.184    0.000 {built-in method numpy.seterrobj}
     5058    0.182    0.000    1.596    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:272(__init__)
    37246    0.180    0.000    0.673    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:259(_reconstruct)
    12382    0.179    0.000    0.414    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:180(__init__)
    25204    0.176    0.000    0.176    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1765(<dictcomp>)
14777/9944    0.174    0.000    0.374    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2436(get_affine)
    72444    0.174    0.000    0.174    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1861    0.171    0.000    0.234    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1964    0.170    0.000    0.242    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:744(_set_order_of_magnitude)
